WorkPosition,Country,Question,Option
Project Manager,Argentina,Question 8,option a
Project Manager,Argentina,Question 9,option b
Project Manager,Argentina,Question 10,option b
Project Manager,Argentina,Question 11,option a
Project Manager,Argentina,Question 12,option a
Project Manager,Argentina,Question 13,option a
Project Manager,Argentina,Question 14,option a
Project Manager,Argentina,Question 15,option a
Project Manager,Argentina,Question 16,option b
Project Manager,Argentina,Question 17,option b
Project Manager,Argentina,Question 18,option b
Project Manager,Argentina,Question 19,option a
Project Manager,Argentina,Question 20,option b
Project Manager,Argentina,Question 21,option b
Project Manager,Argentina,Question 22,option a
Project Manager,Argentina,Question 23,option b
Project Manager,Argentina,Question 24,option a
Project Manager,Argentina,Question 25,option b
Project Manager,Argentina,Question 26,option a
Project Manager,Argentina,Question 27,option a
Project Manager,Argentina,Question 28,option a
Project Manager,Argentina,Question 29,option b
Project Manager,Germany,Question 1,option b
Project Manager,Germany,Question 2,option b
Project Manager,Germany,Question 3,option a
Project Manager,Germany,Question 4,option b
Project Manager,Germany,Question 5,option a
Project Manager,Germany,Question 6,option b
Project Manager,Germany,Question 7,option b
Project Manager,Germany,Question 8,option a
Project Manager,Germany,Question 9,option b
Project Manager,Germany,Question 10,option b
Project Manager,Germany,Question 11,option a
Project Manager,Germany,Question 12,option a
Project Manager,Germany,Question 13,option a
Project Manager,Germany,Question 14,option a
Project Manager,Germany,Question 15,option a
Project Manager,Germany,Question 16,option b
Project Manager,Germany,Question 17,option b
Project Manager,Germany,Question 18,option b
Project Manager,Germany,Question 19,option a
Project Manager,Germany,Question 20,option b
Project Manager,Germany,Question 21,option b
Project Manager,Germany,Question 22,option a
Project Manager,Germany,Question 23,option b
Project Manager,Germany,Question 24,option a
Project Manager,Germany,Question 25,option b
Project Manager,Germany,Question 26,option a
Project Manager,Germany,Question 27,option a
Project Manager,Germany,Question 28,option a
Project Manager,Germany,Question 29,option b
Project Manager,Malta,Question 1,option b
Project Manager,Malta,Question 2,option b
Project Manager,Malta,Question 3,option a
Project Manager,Malta,Question 4,option b
Project Manager,Malta,Question 5,option a
Project Manager,Malta,Question 6,option b
Project Manager,Malta,Question 7,option b
Project Manager,Malta,Question 8,option a
Project Manager,Malta,Question 9,option b
Project Manager,Malta,Question 10,option b
Project Manager,Malta,Question 11,option a
Project Manager,Malta,Question 12,option a
Project Manager,Malta,Question 13,option a
Project Manager,Malta,Question 14,option a
Project Manager,Malta,Question 15,option a
Project Manager,Malta,Question 16,option b
Project Manager,Malta,Question 17,option b
Project Manager,Malta,Question 18,option b
Project Manager,Malta,Question 19,option a
Project Manager,Malta,Question 20,option b
Project Manager,Malta,Question 21,option b
Project Manager,Malta,Question 22,option a
Project Manager,Malta,Question 23,option b
Project Manager,Malta,Question 24,option a
Project Manager,Malta,Question 25,option b
Project Manager,Malta,Question 26,option a
Project Manager,Malta,Question 27,option a
Project Manager,Malta,Question 28,option a
Project Manager,Malta,Question 29,option b
Project Manager,United Kingdom,Question 1,option b
Project Manager,United Kingdom,Question 2,option b
Project Manager,United Kingdom,Question 3,option a
Project Manager,United Kingdom,Question 4,option a
Project Manager,United Kingdom,Question 5,option a
Project Manager,United Kingdom,Question 6,option b
Project Manager,United Kingdom,Question 7,option b
Project Manager,United Kingdom,Question 8,option b
Project Manager,United Kingdom,Question 9,option b
Project Manager,United Kingdom,Question 10,option b
Project Manager,United Kingdom,Question 11,option a
Project Manager,United Kingdom,Question 12,option a
Project Manager,United Kingdom,Question 13,option a
Project Manager,United Kingdom,Question 14,option a
Project Manager,United Kingdom,Question 15,option a
Project Manager,United Kingdom,Question 16,option b
Project Manager,United Kingdom,Question 17,option b
Project Manager,United Kingdom,Question 18,option b
Project Manager,United Kingdom,Question 19,option a
Project Manager,United Kingdom,Question 20,option b
Project Manager,United Kingdom,Question 21,option b
Project Manager,United Kingdom,Question 22,option a
Project Manager,United Kingdom,Question 23,option b
Project Manager,United Kingdom,Question 24,option a
Project Manager,United Kingdom,Question 25,option b
Project Manager,United Kingdom,Question 26,option a
Project Manager,United Kingdom,Question 27,option a
Project Manager,United Kingdom,Question 28,option a
Project Manager,United Kingdom,Question 29,option b
Full Stack Software Engineer,Macedonia,Question 1,option b
Full Stack Software Engineer,Macedonia,Question 2,option b
Full Stack Software Engineer,Macedonia,Question 3,option a
Full Stack Software Engineer,Macedonia,Question 4,option b
Full Stack Software Engineer,Macedonia,Question 5,option a
Full Stack Software Engineer,Macedonia,Question 6,option b
Full Stack Software Engineer,Macedonia,Question 7,option b
Full Stack Software Engineer,Macedonia,Question 8,option a
Full Stack Software Engineer,Macedonia,Question 9,option b
Full Stack Software Engineer,Macedonia,Question 10,option b
Full Stack Software Engineer,Macedonia,Question 11,option a
Full Stack Software Engineer,Macedonia,Question 12,option a
Full Stack Software Engineer,Macedonia,Question 13,option a
Full Stack Software Engineer,Macedonia,Question 14,option a
Full Stack Software Engineer,Macedonia,Question 15,option a
Full Stack Software Engineer,Macedonia,Question 16,option b
Full Stack Software Engineer,Macedonia,Question 17,option b
Full Stack Software Engineer,Macedonia,Question 18,option b
Full Stack Software Engineer,Macedonia,Question 19,option a
Full Stack Software Engineer,Macedonia,Question 20,option b
Full Stack Software Engineer,Macedonia,Question 21,option b
Full Stack Software Engineer,Macedonia,Question 22,option a
Full Stack Software Engineer,Macedonia,Question 23,option b
Full Stack Software Engineer,Macedonia,Question 24,option a
Full Stack Software Engineer,Macedonia,Question 25,option b
Full Stack Software Engineer,Macedonia,Question 26,option a
Full Stack Software Engineer,Macedonia,Question 27,option a
Full Stack Software Engineer,Macedonia,Question 28,option a
Full Stack Software Engineer,Macedonia,Question 29,option b
Full Stack Software Engineer,Canada,Question 1,option b
Full Stack Software Engineer,Canada,Question 2,option b
Full Stack Software Engineer,Canada,Question 3,option a
Full Stack Software Engineer,Canada,Question 4,option b
Full Stack Software Engineer,Canada,Question 5,option a
Full Stack Software Engineer,Canada,Question 6,option b
Full Stack Software Engineer,Canada,Question 7,option b
Full Stack Software Engineer,Canada,Question 8,option b
Full Stack Software Engineer,Canada,Question 9,option b
Full Stack Software Engineer,Canada,Question 10,option b
Full Stack Software Engineer,Canada,Question 11,option a
Full Stack Software Engineer,Canada,Question 12,option a
Full Stack Software Engineer,Canada,Question 13,option a
Full Stack Software Engineer,Canada,Question 14,option a
Full Stack Software Engineer,Canada,Question 15,option a
Full Stack Software Engineer,Canada,Question 16,option b
Full Stack Software Engineer,Canada,Question 17,option b
Full Stack Software Engineer,Canada,Question 18,option b
Full Stack Software Engineer,Canada,Question 19,option a
Full Stack Software Engineer,Canada,Question 20,option b
Full Stack Software Engineer,Canada,Question 21,option b
Full Stack Software Engineer,Canada,Question 22,option a
Full Stack Software Engineer,Canada,Question 23,option b
Full Stack Software Engineer,Canada,Question 24,option a
Full Stack Software Engineer,Canada,Question 25,option b
Full Stack Software Engineer,Canada,Question 26,option a
Full Stack Software Engineer,Canada,Question 27,option a
Full Stack Software Engineer,Canada,Question 28,option a
Full Stack Software Engineer,Canada,Question 29,option b
Full Stack Software Engineer,Spain,Question 1,option b
Full Stack Software Engineer,Spain,Question 2,option b
Full Stack Software Engineer,Spain,Question 3,option a
Full Stack Software Engineer,Spain,Question 4,option b
Full Stack Software Engineer,Spain,Question 5,option a
Full Stack Software Engineer,Spain,Question 6,option b
Full Stack Software Engineer,Spain,Question 7,option b
Full Stack Software Engineer,Spain,Question 8,option b
Full Stack Software Engineer,Spain,Question 9,option b
Full Stack Software Engineer,Spain,Question 10,option b
Full Stack Software Engineer,Spain,Question 11,option a
Full Stack Software Engineer,Spain,Question 12,option a
Full Stack Software Engineer,Spain,Question 13,option a
Full Stack Software Engineer,Spain,Question 14,option a
Full Stack Software Engineer,Spain,Question 15,option a
Full Stack Software Engineer,Spain,Question 16,option b
Full Stack Software Engineer,Spain,Question 17,option b
Full Stack Software Engineer,Spain,Question 18,option b
Full Stack Software Engineer,Spain,Question 19,option a
Full Stack Software Engineer,Spain,Question 20,option b
Full Stack Software Engineer,Spain,Question 21,option b
Full Stack Software Engineer,Spain,Question 22,option a
Full Stack Software Engineer,Spain,Question 23,option b
Full Stack Software Engineer,Spain,Question 24,option a
Full Stack Software Engineer,Spain,Question 25,option b
Full Stack Software Engineer,Spain,Question 26,option a
Full Stack Software Engineer,Spain,Question 27,option a
Full Stack Software Engineer,Spain,Question 28,option a
Full Stack Software Engineer,Spain,Question 29,option b
Full Stack Software Engineer,Argentina,Question 1,option b
Full Stack Software Engineer,Argentina,Question 2,option b
Full Stack Software Engineer,Argentina,Question 3,option a
Full Stack Software Engineer,Argentina,Question 4,option b
Full Stack Software Engineer,Argentina,Question 5,option a
Full Stack Software Engineer,Argentina,Question 6,option b
Full Stack Software Engineer,Argentina,Question 7,option b
Full Stack Software Engineer,Argentina,Question 8,option b
Full Stack Software Engineer,Argentina,Question 9,option b
Full Stack Software Engineer,Argentina,Question 10,option b
Full Stack Software Engineer,Argentina,Question 11,option a
Full Stack Software Engineer,Argentina,Question 12,option a
Full Stack Software Engineer,Argentina,Question 13,option a
Full Stack Software Engineer,Argentina,Question 14,option a
Full Stack Software Engineer,Argentina,Question 15,option a
Full Stack Software Engineer,Argentina,Question 16,option b
Full Stack Software Engineer,Argentina,Question 17,option b
Full Stack Software Engineer,Argentina,Question 18,option b
Full Stack Software Engineer,Argentina,Question 19,option a
Full Stack Software Engineer,Argentina,Question 20,option b
Full Stack Software Engineer,Argentina,Question 21,option b
Full Stack Software Engineer,Argentina,Question 22,option a
Full Stack Software Engineer,Argentina,Question 23,option b
Full Stack Software Engineer,Argentina,Question 24,option a
Full Stack Software Engineer,Argentina,Question 25,option b
Full Stack Software Engineer,Argentina,Question 26,option a
Full Stack Software Engineer,Argentina,Question 27,option a
Full Stack Software Engineer,Argentina,Question 28,option a
Full Stack Software Engineer,Argentina,Question 29,option b
Full Stack Software Engineer,Germany,Question 1,option b
Full Stack Software Engineer,Germany,Question 2,option b
Full Stack Software Engineer,Germany,Question 3,option a
Full Stack Software Engineer,Germany,Question 4,option b
Full Stack Software Engineer,Germany,Question 5,option a
Full Stack Software Engineer,Germany,Question 6,option b
Full Stack Software Engineer,Germany,Question 7,option b
Full Stack Software Engineer,Germany,Question 8,option b
Full Stack Software Engineer,Germany,Question 9,option b
Full Stack Software Engineer,Germany,Question 10,option b
Full Stack Software Engineer,Germany,Question 11,option a
Full Stack Software Engineer,Germany,Question 12,option a
Full Stack Software Engineer,Germany,Question 13,option a
Full Stack Software Engineer,Germany,Question 14,option a
Full Stack Software Engineer,Germany,Question 15,option a
Full Stack Software Engineer,Germany,Question 16,option b
Full Stack Software Engineer,Germany,Question 17,option b
Full Stack Software Engineer,Germany,Question 18,option b
Full Stack Software Engineer,Germany,Question 19,option a
Full Stack Software Engineer,Germany,Question 20,option b
Full Stack Software Engineer,Germany,Question 21,option b
Full Stack Software Engineer,Germany,Question 22,option a
Full Stack Software Engineer,Germany,Question 23,option b
Full Stack Software Engineer,Germany,Question 24,option a
Full Stack Software Engineer,Germany,Question 25,option b
Full Stack Software Engineer,Germany,Question 26,option a
Full Stack Software Engineer,Germany,Question 27,option a
Full Stack Software Engineer,Germany,Question 28,option a
Full Stack Software Engineer,Germany,Question 29,option b
Full Stack Software Engineer,Malta,Question 1,option b
Full Stack Software Engineer,Malta,Question 2,option b
Full Stack Software Engineer,Malta,Question 3,option a
Full Stack Software Engineer,Malta,Question 4,option b
Full Stack Software Engineer,Malta,Question 5,option a
Full Stack Software Engineer,Malta,Question 6,option b
Full Stack Software Engineer,Malta,Question 7,option b
Full Stack Software Engineer,Malta,Question 8,option b
Full Stack Software Engineer,Malta,Question 9,option b
Full Stack Software Engineer,Malta,Question 10,option b
Full Stack Software Engineer,Malta,Question 11,option a
Full Stack Software Engineer,Malta,Question 12,option a
Full Stack Software Engineer,Malta,Question 13,option a
Full Stack Software Engineer,Malta,Question 14,option a
Full Stack Software Engineer,Malta,Question 15,option a
Full Stack Software Engineer,Malta,Question 16,option b
Full Stack Software Engineer,Malta,Question 17,option b
Full Stack Software Engineer,Malta,Question 18,option b
Full Stack Software Engineer,Malta,Question 19,option a
Full Stack Software Engineer,Malta,Question 20,option b
Full Stack Software Engineer,Malta,Question 21,option b
Full Stack Software Engineer,Malta,Question 22,option a
Full Stack Software Engineer,Malta,Question 23,option b
Full Stack Software Engineer,Malta,Question 24,option a
Full Stack Software Engineer,Malta,Question 25,option b
Full Stack Software Engineer,Malta,Question 26,option a
Full Stack Software Engineer,Malta,Question 27,option a
Full Stack Software Engineer,Malta,Question 28,option a
Full Stack Software Engineer,Malta,Question 29,option b
Full Stack Software Engineer,United Kingdom,Question 1,option b
Full Stack Software Engineer,United Kingdom,Question 2,option b
Full Stack Software Engineer,United Kingdom,Question 3,option a
Full Stack Software Engineer,United Kingdom,Question 4,option b
Full Stack Software Engineer,United Kingdom,Question 5,option a
Full Stack Software Engineer,United Kingdom,Question 6,option b
Full Stack Software Engineer,United Kingdom,Question 7,option b
Full Stack Software Engineer,United Kingdom,Question 8,option b
Full Stack Software Engineer,United Kingdom,Question 9,option b
Full Stack Software Engineer,United Kingdom,Question 10,option b
Full Stack Software Engineer,United Kingdom,Question 11,option a
Full Stack Software Engineer,United Kingdom,Question 12,option a
Full Stack Software Engineer,United Kingdom,Question 13,option a
Full Stack Software Engineer,United Kingdom,Question 14,option a
Full Stack Software Engineer,United Kingdom,Question 15,option a
Full Stack Software Engineer,United Kingdom,Question 16,option b
Full Stack Software Engineer,United Kingdom,Question 17,option b
Full Stack Software Engineer,United Kingdom,Question 18,option b
Full Stack Software Engineer,United Kingdom,Question 19,option a
Full Stack Software Engineer,United Kingdom,Question 20,option b
Full Stack Software Engineer,United Kingdom,Question 21,option b
Full Stack Software Engineer,United Kingdom,Question 22,option a
Full Stack Software Engineer,United Kingdom,Question 23,option b
Full Stack Software Engineer,United Kingdom,Question 24,option a
Full Stack Software Engineer,United Kingdom,Question 25,option b
Full Stack Software Engineer,United Kingdom,Question 26,option a
Full Stack Software Engineer,United Kingdom,Question 27,option a
Full Stack Software Engineer,United Kingdom,Question 28,option a
Full Stack Software Engineer,United Kingdom,Question 29,option b
System Administrator,Macedonia,Question 1,option b
System Administrator,Macedonia,Question 2,option b
System Administrator,Macedonia,Question 3,option a
System Administrator,Macedonia,Question 4,option b
System Administrator,Macedonia,Question 5,option a
System Administrator,Macedonia,Question 6,option b
System Administrator,Macedonia,Question 7,option b
System Administrator,Macedonia,Question 8,option a
System Administrator,Macedonia,Question 9,option b
System Administrator,Macedonia,Question 10,option b
System Administrator,Macedonia,Question 11,option a
System Administrator,Macedonia,Question 12,option a
System Administrator,Macedonia,Question 13,option a
System Administrator,Macedonia,Question 14,option a
System Administrator,Macedonia,Question 15,option a
System Administrator,Macedonia,Question 16,option b
System Administrator,Macedonia,Question 17,option b
System Administrator,Macedonia,Question 18,option b
System Administrator,Macedonia,Question 19,option a
System Administrator,Macedonia,Question 20,option b
System Administrator,Macedonia,Question 21,option b
System Administrator,Macedonia,Question 22,option a
System Administrator,Macedonia,Question 23,option b
System Administrator,Macedonia,Question 24,option a
System Administrator,Macedonia,Question 25,option b
System Administrator,Macedonia,Question 26,option a
System Administrator,Macedonia,Question 27,option a
System Administrator,Macedonia,Question 28,option a
System Administrator,Macedonia,Question 29,option b
System Administrator,Canada,Question 1,option b
System Administrator,Canada,Question 2,option b
System Administrator,Canada,Question 3,option a
System Administrator,Canada,Question 4,option b
System Administrator,Canada,Question 5,option a
System Administrator,Canada,Question 6,option b
System Administrator,Canada,Question 7,option b
System Administrator,Canada,Question 8,option b
System Administrator,Canada,Question 9,option b
System Administrator,Canada,Question 10,option b
System Administrator,Canada,Question 11,option a
System Administrator,Canada,Question 12,option a
System Administrator,Canada,Question 13,option a
System Administrator,Canada,Question 14,option a
System Administrator,Canada,Question 15,option a
System Administrator,Canada,Question 16,option b
System Administrator,Canada,Question 17,option b
System Administrator,Canada,Question 18,option b
System Administrator,Canada,Question 19,option a
System Administrator,Canada,Question 20,option b
System Administrator,Canada,Question 21,option b
System Administrator,Canada,Question 22,option a
System Administrator,Canada,Question 23,option b
System Administrator,Canada,Question 24,option a
System Administrator,Canada,Question 25,option b
System Administrator,Canada,Question 26,option a
System Administrator,Canada,Question 27,option a
System Administrator,Canada,Question 28,option a
System Administrator,Canada,Question 29,option b
System Administrator,Spain,Question 1,option b
System Administrator,Spain,Question 2,option b
System Administrator,Spain,Question 3,option a
System Administrator,Spain,Question 4,option b
System Administrator,Spain,Question 5,option a
System Administrator,Spain,Question 6,option b
System Administrator,Spain,Question 7,option b
System Administrator,Spain,Question 8,option a
System Administrator,Spain,Question 9,option b
System Administrator,Spain,Question 10,option b
System Administrator,Spain,Question 11,option a
System Administrator,Spain,Question 12,option a
System Administrator,Spain,Question 13,option a
System Administrator,Spain,Question 14,option a
System Administrator,Spain,Question 15,option a
System Administrator,Spain,Question 16,option b
System Administrator,Spain,Question 17,option b
System Administrator,Spain,Question 18,option b
System Administrator,Spain,Question 19,option a
System Administrator,Spain,Question 20,option b
System Administrator,Spain,Question 21,option b
System Administrator,Spain,Question 22,option a
System Administrator,Spain,Question 23,option b
System Administrator,Spain,Question 24,option a
System Administrator,Spain,Question 25,option b
System Administrator,Spain,Question 26,option a
System Administrator,Spain,Question 27,option a
System Administrator,Spain,Question 28,option a
System Administrator,Spain,Question 29,option b
System Administrator,Argentina,Question 1,option b
System Administrator,Argentina,Question 2,option b
System Administrator,Argentina,Question 3,option a
System Administrator,Argentina,Question 4,option b
System Administrator,Argentina,Question 5,option a
System Administrator,Argentina,Question 6,option b
System Administrator,Argentina,Question 7,option b
System Administrator,Argentina,Question 8,option a
System Administrator,Argentina,Question 9,option b
System Administrator,Argentina,Question 10,option b
System Administrator,Argentina,Question 11,option a
System Administrator,Argentina,Question 12,option a
System Administrator,Argentina,Question 13,option a
System Administrator,Argentina,Question 14,option a
System Administrator,Argentina,Question 15,option a
System Administrator,Argentina,Question 16,option b
System Administrator,Argentina,Question 17,option b
System Administrator,Argentina,Question 18,option b
System Administrator,Argentina,Question 19,option a
System Administrator,Argentina,Question 20,option b
System Administrator,Argentina,Question 21,option b
System Administrator,Argentina,Question 22,option a
System Administrator,Argentina,Question 23,option b
System Administrator,Argentina,Question 24,option a
System Administrator,Argentina,Question 25,option b
System Administrator,Argentina,Question 26,option a
System Administrator,Argentina,Question 27,option a
System Administrator,Argentina,Question 28,option a
System Administrator,Argentina,Question 29,option b
System Administrator,Germany,Question 1,option b
System Administrator,Germany,Question 2,option b
System Administrator,Germany,Question 3,option a
System Administrator,Germany,Question 4,option b
System Administrator,Germany,Question 5,option a
System Administrator,Germany,Question 6,option b
System Administrator,Germany,Question 7,option b
System Administrator,Germany,Question 8,option a
System Administrator,Germany,Question 9,option b
System Administrator,Germany,Question 10,option b
System Administrator,Germany,Question 11,option a
System Administrator,Germany,Question 12,option a
System Administrator,Germany,Question 13,option a
System Administrator,Germany,Question 14,option a
System Administrator,Germany,Question 15,option a
System Administrator,Germany,Question 16,option b
System Administrator,Germany,Question 17,option b
System Administrator,Germany,Question 18,option b
System Administrator,Germany,Question 19,option a
System Administrator,Germany,Question 20,option b
System Administrator,Germany,Question 21,option b
System Administrator,Germany,Question 22,option a
System Administrator,Germany,Question 23,option b
System Administrator,Germany,Question 24,option a
System Administrator,Germany,Question 25,option b
System Administrator,Germany,Question 26,option a
System Administrator,Germany,Question 27,option a
System Administrator,Germany,Question 28,option a
System Administrator,Germany,Question 29,option b
System Administrator,Malta,Question 1,option b
System Administrator,Malta,Question 2,option b
System Administrator,Malta,Question 3,option a
System Administrator,Malta,Question 4,option b
System Administrator,Malta,Question 5,option a
System Administrator,Malta,Question 6,option b
System Administrator,Malta,Question 7,option b
System Administrator,Malta,Question 8,option a
System Administrator,Malta,Question 9,option b
System Administrator,Malta,Question 10,option b
System Administrator,Malta,Question 11,option a
System Administrator,Malta,Question 12,option a
System Administrator,Malta,Question 13,option a
System Administrator,Malta,Question 14,option a
System Administrator,Malta,Question 15,option a
System Administrator,Malta,Question 16,option b
System Administrator,Malta,Question 17,option b
System Administrator,Malta,Question 18,option b
System Administrator,Malta,Question 19,option a
System Administrator,Malta,Question 20,option b
System Administrator,Malta,Question 21,option b
System Administrator,Malta,Question 22,option a
System Administrator,Malta,Question 23,option b
System Administrator,Malta,Question 24,option a
System Administrator,Malta,Question 25,option b
System Administrator,Malta,Question 26,option a
System Administrator,Malta,Question 27,option a
System Administrator,Malta,Question 28,option a
System Administrator,Malta,Question 29,option b
System Administrator,United Kingdom,Question 1,option b
System Administrator,United Kingdom,Question 2,option b
System Administrator,United Kingdom,Question 3,option a
System Administrator,United Kingdom,Question 4,option b
System Administrator,United Kingdom,Question 5,option a
System Administrator,United Kingdom,Question 6,option b
System Administrator,United Kingdom,Question 7,option b
System Administrator,United Kingdom,Question 8,option b
System Administrator,United Kingdom,Question 9,option b
System Administrator,United Kingdom,Question 10,option b
System Administrator,United Kingdom,Question 11,option a
System Administrator,United Kingdom,Question 12,option a
System Administrator,United Kingdom,Question 13,option a
System Administrator,United Kingdom,Question 14,option a
System Administrator,United Kingdom,Question 15,option a
System Administrator,United Kingdom,Question 16,option b
System Administrator,United Kingdom,Question 17,option b
System Administrator,United Kingdom,Question 18,option b
System Administrator,United Kingdom,Question 19,option a
System Administrator,United Kingdom,Question 20,option b
System Administrator,United Kingdom,Question 21,option b
System Administrator,United Kingdom,Question 22,option a
System Administrator,United Kingdom,Question 23,option b
System Administrator,United Kingdom,Question 24,option a
System Administrator,United Kingdom,Question 25,option b
System Administrator,United Kingdom,Question 26,option a
System Administrator,United Kingdom,Question 27,option a
System Administrator,United Kingdom,Question 28,option a
System Administrator,United Kingdom,Question 29,option b
Sales Representative,Macedonia,Question 1,option b
Sales Representative,Macedonia,Question 2,option b
Sales Representative,Macedonia,Question 3,option a
Sales Representative,Macedonia,Question 4,option b
Sales Representative,Macedonia,Question 5,option a
Sales Representative,Macedonia,Question 6,option b
Sales Representative,Macedonia,Question 7,option b
Sales Representative,Macedonia,Question 8,option a
Sales Representative,Macedonia,Question 9,option b
Sales Representative,Macedonia,Question 10,option b
Sales Representative,Macedonia,Question 11,option a
Sales Representative,Macedonia,Question 12,option a
Sales Representative,Macedonia,Question 13,option a
Sales Representative,Macedonia,Question 14,option a
Sales Representative,Macedonia,Question 15,option a
Sales Representative,Macedonia,Question 16,option b
Sales Representative,Macedonia,Question 17,option b
Sales Representative,Macedonia,Question 18,option b
Sales Representative,Macedonia,Question 19,option a
Sales Representative,Macedonia,Question 20,option b
Sales Representative,Macedonia,Question 21,option b
Sales Representative,Macedonia,Question 22,option a
Sales Representative,Macedonia,Question 23,option b
Sales Representative,Macedonia,Question 24,option a
Sales Representative,Macedonia,Question 25,option b
Sales Representative,Macedonia,Question 26,option a
Sales Representative,Macedonia,Question 27,option a
Sales Representative,Macedonia,Question 28,option a
Sales Representative,Macedonia,Question 29,option b
Sales Representative,Canada,Question 1,option b
Sales Representative,Canada,Question 2,option b
Sales Representative,Canada,Question 3,option a
Sales Representative,Canada,Question 4,option b
Sales Representative,Canada,Question 5,option a
Sales Representative,Canada,Question 6,option b
Sales Representative,Canada,Question 7,option b
Sales Representative,Canada,Question 8,option a
Sales Representative,Canada,Question 9,option b
Sales Representative,Canada,Question 10,option b
Sales Representative,Canada,Question 11,option a
Sales Representative,Canada,Question 12,option a
Sales Representative,Canada,Question 13,option a
Sales Representative,Canada,Question 14,option a
Sales Representative,Canada,Question 15,option a
Sales Representative,Canada,Question 16,option b
Sales Representative,Canada,Question 17,option b
Sales Representative,Canada,Question 18,option b
Sales Representative,Canada,Question 19,option a
Sales Representative,Canada,Question 20,option b
Sales Representative,Canada,Question 21,option b
Sales Representative,Canada,Question 22,option a
Sales Representative,Canada,Question 23,option b
Sales Representative,Canada,Question 24,option a
Sales Representative,Canada,Question 25,option b
Sales Representative,Canada,Question 26,option a
Sales Representative,Canada,Question 27,option a
Sales Representative,Canada,Question 28,option a
Sales Representative,Canada,Question 29,option b
Sales Representative,Spain,Question 1,option b
Sales Representative,Spain,Question 2,option b
Sales Representative,Spain,Question 3,option a
Sales Representative,Spain,Question 4,option b
Sales Representative,Spain,Question 5,option a
